resource_type,resource_name,user_id,timestamp,metadata
game,A52 - Naraka: Bladepoint,thond3,2/10/2026 11:37,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
home,Game Dashboard,thond3,2/10/2026 11:37,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
game,A52 - Naraka: Bladepoint,thond3,2/10/2026 11:37,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
tableau,Webshop Daily CR,thond3,2/10/2026 11:37,"{""folder"": ""A52 - Naraka: Bladepoint"", ""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
game,A52 - Naraka: Bladepoint,thond3,2/10/2026 11:37,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
home,Game Dashboard,thond3,2/10/2026 11:37,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
home,Game Dashboard,trieutq2,2/10/2026 11:35,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
home,Game Dashboard,trieutq2,2/10/2026 11:35,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
export,Export,thaipm,2/10/2026 11:34,"{""device_type"": ""laptop"", ""source_item"": ""export""}"
realtime,Real-time Dashboard,ngannk5,2/10/2026 11:30,"{""folder"": ""A49 - Crossfire Legends-VN"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
realtime,Real-time Dashboard,ngannk5,2/10/2026 11:29,"{""folder"": ""A49 - Crossfire Legends-VN"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
realtime,Real-time Dashboard,ngannk5,2/10/2026 11:29,"{""folder"": ""A49 - Crossfire Legends-VN"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
realtime,Real-time Dashboard,ngannk5,2/10/2026 11:29,"{""folder"": ""A49 - Crossfire Legends-VN"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
realtime,Real-time Dashboard,ngannk5,2/10/2026 11:28,"{""folder"": ""A49 - Crossfire Legends-VN"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
realtime,Real-time Dashboard,ngannk5,2/10/2026 11:27,"{""folder"": ""A49 - Crossfire Legends-VN"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
realtime,Real-time Dashboard,ngannk5,2/10/2026 11:26,"{""folder"": ""A49 - Crossfire Legends-VN"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
realtime,Real-time Dashboard,ngannk5,2/10/2026 11:25,"{""folder"": ""A49 - Crossfire Legends-VN"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
home,Game Dashboard,ngannk5,2/10/2026 11:25,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
home,Game Dashboard,hauct,2/10/2026 11:18,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
tableau,Operation,nhandt3,2/10/2026 11:17,"{""folder"": ""425 - Perfect World Thái"", ""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
game,425 - Perfect World Thái,nhandt3,2/10/2026 11:17,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
home,Game Dashboard,nhandt3,2/10/2026 11:17,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
home,Game Dashboard,trieutq2,2/10/2026 11:16,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
